highway	name	@type	@id	@lat	@lon
		node	2500462939	46.7143741	23.5710465
		node	2500462940	46.7145153	23.5705972
		node	2500462941	46.7146528	23.5700789
		node	2500462942	46.7145915	23.5698513
		node	2500462943	46.7139225	23.5691764
		node	6584532758	46.7143026	23.5723871
service	Strada Zmeurișului	way	264726424		
		node	2500462938	46.7126402	23.5688837
		node	2500462939	46.7143741	23.5710465
		node	6584532759	46.7127159	23.5689234
service	Strada Afinului	way	596508963		
		node	2500462936	46.7143033	23.5722646
		node	2500462937	46.7119935	23.5693878
		node	2500462938	46.7126402	23.5688837
		node	6584532760	46.7125729	23.5688894
		node	6584532761	46.7120124	23.5693322
		node	6584532762	46.7120124	23.5694727
residential	Strada Sfânta Maria	way	169340397		
		node	1805096699	46.7147762	23.5774634
		node	1805096708	46.7157362	23.5772757
		node	1805096716	46.7161628	23.5772864
		node	1805096749	46.7153794	23.5773240
		node	1805096758	46.7171228	23.5770772
		node	1805096784	46.7164056	23.5773293
		node	3782997583	46.7162370	23.5772995
		node	3782997586	46.7153649	23.5773273
residential	Aleea Garofitei	way	374916655		
		node	3782997583	46.7162370	23.5772995
		node	3782997584	46.7162003	23.5766266
		node	3782997585	46.7156458	23.5763544
		node	3782997586	46.7153649	23.5773273
		node	6584532736	46.7162122	23.5766709
		node	6584532737	46.7156302	23.5763745
		node	6584532738	46.7156771	23.5763557
		node	6584532739	46.7161846	23.5766025
residential	Strada Carpenului	way	374916658		
		node	3782997587	46.7168986	23.5790415
		node	3782997588	46.7167451	23.5789241
		node	3782997589	46.7167283	23.5785507
		node	3782997590	46.7160203	23.5784272
		node	3782997591	46.7157038	23.5784012
		node	3782997592	46.7142921	23.5785380
		node	6584625146	46.7156308	23.5784076
		node	6584625147	46.7167045	23.5785253
		node	6584625148	46.7167416	23.5786005
		node	6584625149	46.7167352	23.5788717
secondary	Strada Făgetului	way	525510186		
		node	346236902	46.7167807	23.5749387
	Vila Tușa	node	3288243909	46.7168334	23.5749955
secondary	Strada Făgetului	way	846373532		
		node	346236901	46.7169729	23.5750532
	Vila Tușa	node	3288243909	46.7168334	23.5749955
		node	3782997576	46.7170242	23.5750519
secondary	Strada Făgetului	way	846373687		
		node	346236902	46.7167807	23.5749387
		node	4934573964	46.7167308	23.5748362
		node	4934573973	46.7166609	23.5740208
		node	4934573974	46.7165800	23.5739242
		node	4934573975	46.7164439	23.5738223
		node	4934574007	46.7167124	23.5743856
		node	4934574124	46.7167050	23.5747396
		node	4934574125	46.7167014	23.5745787
		node	4934574127	46.7167150	23.5742860
		node	4934574128	46.7166940	23.5741066
		node	9061791174	46.7167588	23.5748937
		node	9071393530	46.7167157	23.5742570
residential	Strada Nicolae Mărgineanu	way	34156853		
		node	1805096543	46.7149969	23.5809771
		node	1805096563	46.7144342	23.5813687
		node	1805096603	46.7171409	23.5809571
		node	1805096605	46.7160194	23.5811381
		node	1805096608	46.7175825	23.5812668
		node	1805096614	46.7178820	23.5812628
		node	1805096631	46.7166851	23.5808162
		node	1805096636	46.7187389	23.5813165
		node	1805096647	46.7137461	23.5814278
		node	1805096648	46.7167531	23.5807880
		node	1805096656	46.7141654	23.5815378
		node	1805096663	46.7197891	23.5813808
		node	1805096666	46.7185476	23.5813500
		node	1805096667	46.7196969	23.5814103
		node	1805096763	46.7161481	23.5810951
		node	1805096788	46.7169278	23.5807800
		node	1805096798	46.7173947	23.5811636
		node	1805096801	46.7153537	23.5810683
		node	1805096802	46.7182939	23.5813352
		node	1805096816	46.7195406	23.5814211
		node	1805096839	46.7142760	23.5814867
		node	1805096892	46.7168307	23.5807551
		node	1805096919	46.7148608	23.5809932
		node	1805096924	46.7147542	23.5810361
		node	6584625121	46.7174636	23.5812306
		node	6584625133	46.7145926	23.5812040
		node	9300195872	46.7196123	23.5814385
		node	9300195873	46.7192151	23.5813902
		node	9300195874	46.7188851	23.5812923
		node	9300195876	46.7168007	23.5807613
		node	9300195877	46.7138151	23.5814439
		node	9300195878	46.7141222	23.5815498
		node	9300195879	46.7139815	23.5815351
		node	9300195880	46.7138638	23.5814801
secondary	Strada Făgetului	way	31136937		
		node	346236886	46.7220661	23.5781105
		node	3278437392	46.7219921	23.5780316
residential	Strada Haller Károly	way	169340385		
		node	391745826	46.7196374	23.5791371
		node	1805096561	46.7194324	23.5785792
		node	1805096568	46.7188329	23.5765837
		node	1805096644	46.7186454	23.5758648
		node	1805096649	46.7184504	23.5753069
		node	1805096861	46.7189837	23.5770021
		node	7987156812	46.7179816	23.5754556
secondary	Strada Făgetului	way	321126489		
		node	346236887	46.7210798	23.5768010
		node	346236888	46.7202085	23.5759302
		node	346236889	46.7200423	23.5756003
		node	346236890	46.7197080	23.5748709
		node	346236893	46.7194346	23.5745685
		node	346236894	46.7190191	23.5744153
		node	3278437390	46.7216457	23.5775932
		node	3278437392	46.7219921	23.5780316
		node	4934573977	46.7198449	23.5751435
		node	4934573978	46.7195833	23.5746945
		node	4934573981	46.7192440	23.5744689
		node	4934573983	46.7187121	23.5744048
		node	4934573984	46.7204643	23.5762210
		node	4934573985	46.7208688	23.5765695
		node	6584686401	46.7177135	23.5746755
		node	8080568557	46.7203258	23.5760848
		node	8080568558	46.7184906	23.5744460
		node	9061791164	46.7180110	23.5745876
residential	Strada Galaction Liviu Munteanu	way	321126492		
		node	391745826	46.7196374	23.5791371
		node	391745853	46.7211320	23.5784749
		node	3278437389	46.7215756	23.5782830
		node	3278437391	46.7218856	23.5780993
		node	3278437392	46.7219921	23.5780316
		node	7541405105	46.7208136	23.5785974
		node	7541405109	46.7206301	23.5786554
		node	7896500922	46.7219443	23.5780620
secondary	Drumul Sfântul Ioan	way	695630309		
		node	346236886	46.7220661	23.5781105
		node	391746361	46.7228511	23.5753413
		node	391746362	46.7226150	23.5765665
		node	391746363	46.7221778	23.5777915
		node	654078559	46.7229274	23.5749798
		node	654078562	46.7229471	23.5748086
		node	6529730571	46.7229396	23.5748933
		node	6529730572	46.7229157	23.5750575
		node	6529730573	46.7225769	23.5767259
		node	6529730574	46.7224781	23.5770390
